Filename,# of rows,Column List
Apollo 200 Million 1_3.csv,10819083,organization_id	organization_name	organization_revenue_in_thousands_int	organization_retail_location_count	organization_public_symbol	organization_linkedin_company_size_tag_ids	organization_founded_year	organization_alexa_ranking	organization_num_current_employees	organization_relevant_keywords	organization_relevant_keywords_str	organization_industries	organization_linkedin_specialties	organization_angellist_markets	organization_yelp_categories	organization_keywords	organization_linkedin_industry_tag_ids	organization_linkedin_specialty_tag_ids	organization_angellist_market_tag_ids	organization_short_description	organization_seo_description	organization_website_url	organization_angellist_url	organization_facebook_url	organization_twitter_url	organization_languages	organization_num_languages	organization_linkedin_numerical_urls	organization_domain_status_cd	organization_domain	organization_domain_analyzed	organization_phone	organization_all_possible_domains	organization_current_technologies	organization_num_linkedin_followers	job_functions	organization_hq_location_city	organization_hq_location_city_with_state_or_country	organization_hq_location_state	organization_hq_location_state_with_country	organization_hq_location_country	organization_hq_location_postal_code	organization_hq_location_geojson	organization_total_funding_long	organization_latest_funding_stage_cd	organization_latest_funding_round_amount_long	organization_latest_funding_round_date	_index	_type	_id	_score
Apollo 200 Million 3_3.csv,10819083,organization_id	organization_name	organization_revenue_in_thousands_int	organization_retail_location_count	organization_public_symbol	organization_linkedin_company_size_tag_ids	organization_founded_year	organization_alexa_ranking	organization_num_current_employees	organization_relevant_keywords	organization_relevant_keywords_str	organization_industries	organization_linkedin_specialties	organization_angellist_markets	organization_yelp_categories	organization_keywords	organization_linkedin_industry_tag_ids	organization_linkedin_specialty_tag_ids	organization_angellist_market_tag_ids	organization_short_description	organization_seo_description	organization_website_url	organization_angellist_url	organization_facebook_url	organization_twitter_url	organization_languages	organization_num_languages	organization_linkedin_numerical_urls	organization_domain_status_cd	organization_domain	organization_domain_analyzed	organization_phone	organization_all_possible_domains	organization_current_technologies	organization_num_linkedin_followers	job_functions	organization_hq_location_city	organization_hq_location_city_with_state_or_country	organization_hq_location_state	organization_hq_location_state_with_country	organization_hq_location_country	organization_hq_location_postal_code	organization_hq_location_geojson	organization_total_funding_long	organization_latest_funding_stage_cd	organization_latest_funding_round_amount_long	organization_latest_funding_round_date	_index	_type	_id	_score
Apollo 200 Million 2_3.csv,21661021,person_name	person_first_name_unanalyzed	person_last_name_unanalyzed	person_name_unanalyzed_downcase	person_title	person_functions	person_seniority	person_email_status_cd	person_extrapolated_email_confidence	person_email	person_phone	person_sanitized_phone	person_email_analyzed	person_linkedin_url	person_detailed_function	person_title_normalized	primary_title_normalized_for_faceting	sanitized_organization_name_unanalyzed	person_location_city	person_location_city_with_state_or_country	person_location_state	person_location_state_with_country	person_location_country	person_location_postal_code	job_start_date	current_organization_ids	modality	prospected_by_team_ids	person_excluded_by_team_ids	relavence_boost	person_num_linkedin_connections	person_location_geojson	predictive_scores	person_vacuumed_at	random	_index	_type	_id	_score
Iowa.csv,583209,"Full name, Industry, Job title, Sub Role, Industry 2, Emails, Mobile, Phone numbers, Company Name, Company Industry, Company Website, Company Size, Company Founded, Location, Locality, Metro, Region, Skills, First Name, Middle Initial, Middle Name, Last Name, Birth Year, Birth Date, Gender, LinkedIn Url, LinkedIn Username, Facebook Url, Facebook Username, Twitter Url, Twitter Username, Github Url, Github Username, Company Linkedin Url, Company Facebook Url, Company Twitter Url, Company Location Name, Company Location Locality, Company Location Metro, Company Location Region, Company Location Geo, Company Location Street Address, Company Location Address Line 2, Company Location Postal Code, Company Location Country, Company Location Continent, Last Updated, Start Date, Job Summary, Location Country, Location Continent, Street Address, Address Line 2, Postal Code, Location Geo, Last Updated.1, Linkedin Connections, Inferred Salary, Years Experience, Summary, Countries, Interests"
Ohio.csv,2539403,"Full name, Industry, Job title, Sub Role, Industry 2, Emails, Mobile, Phone numbers, Company Name, Company Industry, Company Website, Company Size, Company Founded, Location, Locality, Metro, Region, Skills, First Name, Middle Initial, Middle Name, Last Name, Birth Year, Birth Date, Gender, LinkedIn Url, LinkedIn Username, Facebook Url, Facebook Username, Twitter Url, Twitter Username, Github Url, Github Username, Company Linkedin Url, Company Facebook Url, Company Twitter Url, Company Location Name, Company Location Locality, Company Location Metro, Company Location Region, Company Location Geo, Company Location Street Address, Company Location Address Line 2, Company Location Postal Code, Company Location Country, Company Location Continent, Last Updated, Start Date, Job Summary, Location Country, Location Continent, Street Address, Address Line 2, Postal Code, Location Geo, Last Updated.1, Linkedin Connections, Inferred Salary, Years Experience, Summary, Countries, Interests"
Utah.csv,726223,"Full name, Industry, Job title, Sub Role, Industry 2, Emails, Mobile, Phone numbers, Company Name, Company Industry, Company Website, Company Size, Company Founded, Location, Locality, Metro, Region, Skills, First Name, Middle Initial, Middle Name, Last Name, Birth Year, Birth Date, Gender, LinkedIn Url, LinkedIn Username, Facebook Url, Facebook Username, Twitter Url, Twitter Username, Github Url, Github Username, Company Linkedin Url, Company Facebook Url, Company Twitter Url, Company Location Name, Company Location Locality, Company Location Metro, Company Location Region, Company Location Geo, Company Location Street Address, Company Location Address Line 2, Company Location Postal Code, Company Location Country, Company Location Continent, Last Updated, Start Date, Job Summary, Location Country, Location Continent, Street Address, Address Line 2, Postal Code, Location Geo, Last Updated.1, Linkedin Connections, Inferred Salary, Years Experience, Summary, Countries, Interests"
Maine.csv,264388,"Full name, Industry, Job title, Sub Role, Industry 2, Emails, Mobile, Phone numbers, Company Name, Company Industry, Company Website, Company Size, Company Founded, Location, Locality, Metro, Region, Skills, First Name, Middle Initial, Middle Name, Last Name, Birth Year, Birth Date, Gender, LinkedIn Url, LinkedIn Username, Facebook Url, Facebook Username, Twitter Url, Twitter Username, Github Url, Github Username, Company Linkedin Url, Company Facebook Url, Company Twitter Url, Company Location Name, Company Location Locality, Company Location Metro, Company Location Region, Company Location Geo, Company Location Street Address, Company Location Address Line 2, Company Location Postal Code, Company Location Country, Company Location Continent, Last Updated, Start Date, Job Summary, Location Country, Location Continent, Street Address, Address Line 2, Postal Code, Location Geo, Last Updated.1, Linkedin Connections, Inferred Salary, Years Experience, Summary, Countries, Interests"
Idaho.csv,308958,"Full name, Industry, Job title, Sub Role, Industry 2, Emails, Mobile, Phone numbers, Company Name, Company Industry, Company Website, Company Size, Company Founded, Location, Locality, Metro, Region, Skills, First Name, Middle Initial, Middle Name, Last Name, Birth Year, Birth Date, Gender, LinkedIn Url, LinkedIn Username, Facebook Url, Facebook Username, Twitter Url, Twitter Username, Github Url, Github Username, Company Linkedin Url, Company Facebook Url, Company Twitter Url, Company Location Name, Company Location Locality, Company Location Metro, Company Location Region, Company Location Geo, Company Location Street Address, Company Location Address Line 2, Company Location Postal Code, Company Location Country, Company Location Continent, Last Updated, Start Date, Job Summary, Location Country, Location Continent, Street Address, Address Line 2, Postal Code, Location Geo, Last Updated.1, Linkedin Connections, Inferred Salary, Years Experience, Summary, Countries, Interests"
Texas.csv,6415469,"Full name, Industry, Job title, Sub Role, Industry 2, Emails, Mobile, Phone numbers, Company Name, Company Industry, Company Website, Company Size, Company Founded, Location, Locality, Metro, Region, Skills, First Name, Middle Initial, Middle Name, Last Name, Birth Year, Birth Date, Gender, LinkedIn Url, LinkedIn Username, Facebook Url, Facebook Username, Twitter Url, Twitter Username, Github Url, Github Username, Company Linkedin Url, Company Facebook Url, Company Twitter Url, Company Location Name, Company Location Locality, Company Location Metro, Company Location Region, Company Location Geo, Company Location Street Address, Company Location Address Line 2, Company Location Postal Code, Company Location Country, Company Location Continent, Last Updated, Start Date, Job Summary, Location Country, Location Continent, Street Address, Address Line 2, Postal Code, Location Geo, Last Updated.1, Linkedin Connections, Inferred Salary, Years Experience, Summary, Countries, Interests"
Kansas.csv,764347,"Full name, Industry, Job title, Sub Role, Industry 2, Emails, Mobile, Phone numbers, Company Name, Company Industry, Company Website, Company Size, Company Founded, Location, Locality, Metro, Region, Skills, First Name, Middle Initial, Middle Name, Last Name, Birth Year, Birth Date, Gender, LinkedIn Url, LinkedIn Username, Facebook Url, Facebook Username, Twitter Url, Twitter Username, Github Url, Github Username, Company Linkedin Url, Company Facebook Url, Company Twitter Url, Company Location Name, Company Location Locality, Company Location Metro, Company Location Region, Company Location Geo, Company Location Street Address, Company Location Address Line 2, Company Location Postal Code, Company Location Country, Company Location Continent, Last Updated, Start Date, Job Summary, Location Country, Location Continent, Street Address, Address Line 2, Postal Code, Location Geo, Last Updated.1, Linkedin Connections, Inferred Salary, Years Experience, Summary, Countries, Interests"
